ID;Atasözü/Deyim;Anlamı;Zorluk;Kategori;Örnek;Yanlış Cevap 1;Yanlış Cevap 2;Yanlış Cevap 3
69;Etliye sütlüye karışmamak;Toplum içindeki çeşitli hareketlerden uzak durmak, hiçbir şeyle ilgilenmemek, tartışmalı konulardan kaçınmak.;1;genel;;İpe sapa gelmemek;Seyirci kalmak;Kapı aralamak
70;Ezbere iş görmek;İncelemeden gelişigüzel yapmak;1;genel;;"Kısmet gökten zembille
inmez";Göz boyamak;Tüyleri diken diken olmak
71;Faka basmak;Aldatılmak, uzağa düşmek.;1;genel;;"At, adımına göre değil
adamına göre yürür";İzinden yürümek;"Sabır acıdır, meyvesi
tatlıdır"
72;Fareler cirit oynamak;Bir yerde hiç insan bulunmamak, o yer çok ıssız olmak.;1;genel;;Sıfırdan başlamak;Kapağı atmak;Çoğu gitti, azı kaldı
73;Ferman dinlememek;Yasa, kural, yol yöntem tanımamak.;1;genel;;Yağmasa da gürlemek;"Eskisi olmayanın yenisi
olmaz";Parmağında oynatmak
74;Fincancı katırlarını ürkütmek;Zararı dokunabilecek bir kimsenin hoşuna gitmeyen bir davranışta bulunmak.;1;genel;;Dünya başına yıkılmak;Yağmasa da gürlemek;Zahmetsiz rahmet olmaz
75;Forsunu yitirmek;Etkinliğini ve saygınlığını kaybetmek.;1;genel;;İçi dışına çıkmak;Havsalası almamak;"Islanmışın yağmurdan
pervası yoktur"
76;Fos çıkmak;Bir işin sonu gelmemek, boş çıkmak;1;genel;;Şafak atmak;Akla hayale gelmemek;Çürük tahtaya basmak
77;Foyası meydana çıkmak;Bir olay dolayısıyla bir kimsenin kötü niteliği ortaya çıkmak. - 69;1;genel;;Üstünde durmak;"İyiliğe iyilik her kişinin
kârı, kötülüğe iyilik er kişinin
kârı";Kapıyı göstermek
78;Gafil avlamak;Umulmadık, beklenmedik bir zamanda yakalamak, zor duruma düşürmek.;1;genel;;Paraya para dememek;Kalıbını basmak;Meteliğe kurşun atmak
79;Gam çekmek;Tasalanmak, kaygılanmak, üzülmek.;1;genel;;"Seninki can da benimki
patlıcan mı?
Senin canının değeri var da
benimkinin değeri yok mu?
450-Serçeden korkan darı ekmez";Yangına körükle gitmek;"Ağlayanın malı gülene hayır
etmez"
80;Gam yememek;Tasa etmemek, kaygılanmamak, üzülmemek.;1;genel;;Kapı aralamak;Bal tutan parmağını yalar;Dut yemiş bülbüle dönmek
81;Gazel okumak;Oyalamak veya kandırmak üzere boş sözler söylemek.;1;genel;;Kuş uçurmamak;"Çok yaşayan bilmez, çok
gezen bilir";Ava giden avlanır
82;Geceyi gündüze katmak;Aralıksız, gece gündüz çalışmak, büyük çaba göstermek.;1;genel;;"Bir koltuğa iki karpuz
sığmaz";Yelkenleri suya indirmek;"Garibe bir selam bin altın
değer"
83;Gemi azıya almak;Söz dinlemez olmak.;1;genel;;Üstünde durmak;Sünger çekmek;"Eşeğe altın semer vursalar
yine eşektir"
84;Gemisini yürütmek;Bir işi hiçbir engel tanımadan sürdürmek.;1;genel;;Sözü ağzında gevelemek;Renkten renge girmek;Vebal altında kalmak
85;Gık dememek;Sesini çıkarmamak, karşı çıkmamak yakınmamak.;1;genel;;"Al malın iyisini, çekme
kaygısını";Yaraya tuz biber ekmek;Tadına doyum olmamak
86;Gına gelmek;Usanmak, bıkmak.;1;genel;;"Arayan Mevla’sını da bulur,
belasını da";Zülfü yare dokunmak;"Bir koltuğa iki karpuz
sığmaz"
87;Gırgıra almak;Biriyle alay etmek.;1;genel;;"Davulun sesi uzaktan hoş
gelir";El için ağlayan gözden olur;Tarihe karışmak
88;Göbeği çatlamak;Birçok güçlükleri yenmek için çok uğraşmak.;1;genel;;Eğilen baş kesilmez;Teselli bulmak;Kalıbının adamı olmamak
89;Göğsü kabarmak;Övünç duymak, kıvanmak, iftihar etmek. - 70;1;genel;;"Tilkinin dönüp dolaşıp
geleceği yer kürkçü dükkânıdır";"Tatlı dil yılanı deliğinden
çıkarır";"Adam adama yük değil, can
gövdeye mülk değil"
90;Göğüs geçirmek;Üzülerek erinden soluk almak.;1;genel;;"İnsanın alacası içinde,
hayvanın alacası dışınadır";Tüyleri ürpermek;Havanda su dövmek
91;"Gökten zembille mi indi?
Neden başkalarına tanınmayan
haklar ona tanınıyor.
92-Göklere çıkarmak";Aşırı ölçüde övmek.;1;genel;;Altının kıymetini sarraf bilir;Bağı ağlayanın yüzü güler;"İki ayağını bir pabuca
sokmak"
93;Gölge düşürmek;Bir şeyin değerini veya ününü azaltacak işler yapmak.;1;genel;;"İnsan konuşa konuşa, hayvan
koklaşa koklaşa";Renkten renge girmek;Malın iyisi boğazdan geçer
94;Gönül almak;Kırılan bir kimseyi güzel bir davranışla hoşnut etmek.;1;genel;;Zorla güzellik olmaz;Yakasına yapışmak;Çizgisinden sapmamak
95;Göz boyamak;Kandırmak, yanıltmak, gösterişle aldatmak.;1;genel;;Akacak kan damarda durmaz;"Elin ağzı torba değil ki
büzesin";Aklını peynir ekmekle yemek
96;Gözlerini fal taşı gibi açmak;Şaşkınlıkla, hayretle bakmak.;1;genel;;Bıçak kınını kesmez;"Dost dostun ayıbını
yüzüne söyler";Mahkeme kadıya mülk değil
97;Göz nuru dökmek;Fazla emek sarf etmek.;1;genel;;Yabancılık çekmek;Takıp takıştırmak;"İnsan gönlünün artığını
söyler"
98;Gözü açılmak;İyiyi kötüyü veya kendisine yarayanı ayırt eder duruma gelmek.;1;genel;;Punduna getirmek;Çürük tahtaya basmak;"Sarımsak yemedim ki ağzım
koksun"
99;"Gözünü daldan budaktan
sakınmamak";Tehlikeli işlere atılmaktan çekinmemek.;1;genel;;"Dünyanın kaç bucak
olduğunu anlamak";"Her yiğidin bir yoğurt yiyişi
vardır";"Komşunun tavuğu komşuya
kaz görünür"
100;Gözünü dört açmak;Aldanmamak için çok uyanık bulunmak.;1;genel;;"Çağrılan yere erinme,
çağrılmayan yere görünme";"Küheylan at, çul içinde de
bellidir";"Yüzüp yüzüp kuyruğuna
gelmek"
101;Halep oradaysa arşın burada;Gereken koşullar hazır,hadi yap görelim. - 71;1;genel;;Ne od var ne ocak;"Hekimden sorma,
çekenden sor";Zeval vermemek
102;Hacet kalmamak;Gereği olmamak.;1;genel;;Kök söktürmek;Tüyleri diken diken olmak;Karıncayı bile ezmemek
103;Hâlden anlamak;Bir kimsenin içinde bulunduğu güç durumu anlayarak sezip anlayış göstermek.;1;genel;;Ateş düştüğü yeri yakar;"Ayağını yorganına göre
uzatmak";Saat gibi işlemek
104;"Hangi dağda kurt öldü?
Nasıl oldu da böyle umulmadık
güzel bir davranışta bulundun?
105-Hâli kalmamak";Gücü, takati, eski durumu olmamak.;1;genel;;Ucu bucağı olmamak;"Bakarsan bağ olur,
bakmazsan dağ olur";"Lokma karın doyurmaz,
şefaat artırır"
106;Hallaç pamuğu gibi atmak;Toplu durumda bulunan kişi veya nesneleri darmadağın etmek.;1;genel;;Suyunca gitmek;Yük altına girmek;Safra bastırmak
107;Hapı yutmak;Kötü bir duruma düşmek.;1;genel;;"Çok yaşayan bilmez, çok
gezen bilir";Kökünden halletmek;"İnsan çeşit çeşit, yer
damar damar"
108;Havanda su dövmek;Boşuna uğraşmak.;1;genel;;Deveye hendek atlatmak;Canı burnuna gelmek;Lafa karışmak
109;Havsalası almamak;Aklı kabul etmemek.;1;genel;;İçi cız etmek;"Bostana dadanan eşeğin
kuyruğu, kulağı olmaz";Ateş düştüğü yeri yakar
110;Her boyaya girip çıkmak;Çeşitli işlerde kısa süre de olsa çalışmış olmak.;1;genel;;"Ak koyunun kara kuzusu da
olur";Sermayeyi kediye yüklemek;"Ağlayanın malı gülene hayır
etmez"
111;Her kafadan bir ses çıkmak;Bir konu üzerinde herkes rastgele konuşmak.;1;genel;;Acı patlıcanı kırağı çalmaz;Kara çalmak;"Az veren candan, çok veren
maldan"
112;Her telden çalmak;Birçok konuda bilgisi olmak.;1;genel;;Zokayı yutmak;Suya sabuna dokunmamak;"Yağmurdan kaçarken doluya
tutulmak"
113;Hevesi kalmamak;Şevki kırılmak, isteği kalmamak.;1;genel;;Lafa karışmak;Ağır otur ki bey desinler;"Biri bilmeyen bini hiç
bilmez"
114;Hevesi kursağında kalmak;İstediği, imrendiği şeyi elde edememek. - 72;1;genel;;Nerede hareket, orda bereket;Ömür çürütmek;"Kedinin gideceği samanlığa
kadar"
115;Hevesini almak;İstediği, imrendiği şeyi elde ederek ona doymak.;1;genel;;"Kardeş kardeşi atmış, yar
başına tutmuş";"Kaşıkla verip kepçeyle geri
almak";Sünger çekmek
116;Heyheyleri tutmak;Çok sinirlenmek.;1;genel;;"Bu ne perhiz bu ne lahana
turşusu!";Sinek avlamak;"Eski düşman dost olmaz,
yenisinden vefa gelmez"
117;Huyuna suyuna gitmek;Birini kızdırmayacak veya ürkütmeyecek biçimde uysalca davranmak, alışkanlıklarına, isteklerine uygun davranışlarda bulunmak.;1;genel;;Ummadığın taş baş yarar;"Allah kardeşi kardeş yaratmış,
kesesini ayrı yaratmış";Yoluna can vermek
118;Huyunu suyunu değiştirmek;Eskisine göre değişik davranmasına sebep olmak.;1;genel;;Zor oyunu bozar;Acele ile menzil alınmaz;Su gibi ezberlemek
119;Hüsrana uğramak;Beklenilen sonucun elde edilememesi sebebiyle çok üzülmek, acı çekmek.;1;genel;;Çivi çıkar ama yeri kalır;Dumanı tepesinden çıkmak;Küpünü doldurmak
120;Icığını cıcığını çıkarmak;İncelenmemiş, elden geçirilmemiş hiçbir yerini bırakmamak, en küçük ayrıntısına kadar incelemek, didik didik etmek.;1;genel;;İyilik eden iyilik bulur;Ölümü göze almak;Isıtıp ısıtıp önüne koymak
121;Isıtıp ısıtıp önüne koymak;Daha önce geçmiş bir olayı, bir işi, ileri sürülmüş bir düşünceyi sık sık tekrarlamak.;1;genel;;"Boş gezmekten bedava
çalışmak yeğdir";Göbeği çatlamak;Kapı aralamak
122;Iskartaya çıkarmak;Değersiz bularak bir yana atmak, işe yaramadığı için ayırıp bir yana koymak.;1;genel;;"Tencerede pişirip kapağında
yemek";"İstediğini söyleyen,
istemediğini işitir";Cana gelecek mala gelsin
123;Işık almak;Güneş ışığından yararlanır durumda olmak. - 73;1;genel;;Paniğe kapılmak;İşi aksi gitmek;Bozuk çalmak
124;İbret almak;Bir olaydan deneyim kazanmak, ibret almak.;1;genel;;Kalıptan kalıba girmek;"Ana gibi yâr olmaz, Bağdat gibi
diyar olmaz";"Ağustosta gölge kovan
zemheride karnın ovar"
125;İç açmak;Gönle ferahlık vermek, gönlü ferahlatmak.;1;genel;;Şeytanın bacağını kırmak;Dilini tutamamak;"Borcun iyisi vermek,
derdin iyisi ölmek"
126;İç çekmek;Üzüntüyle derinden soluk almak.;1;genel;;Kaşlarını çatmak;"Suyu havana koy, döv döv
yine su";Elden düşürmemek
127;İçine kurt düşmek;Kendisine zararı dokunacak bir durum meydana geleceğinden kuşkulanmak.;1;genel;;Mum tutturmak;Sucuk gibi ıslanmak;"Nefesine güvenen
borazancıbaşı olur"
128;İçi açılmak;Güzel bir şey karşısında sıkıntısı dağılmak, ferahlamak.;1;genel;;Bal olan yerde sinek de olur;Sucuk gibi ıslanmak;"Sarımsak yemedim ki ağzım
koksun"
129;İçi bayılmak;Çok acıkmak.;1;genel;;Parsayı başkası toplamak;Yüz verince astar istemek;"Terzi kendi söküğünü
dikemez"
130;İçi cız etmek;Ansızın içi sızlamak.;1;genel;;Ne oldum delisi olmak;Ne yârdan geçilir ne serden;"Sarımsak yemedim ki ağzım
koksun"
131;İçi daralmak;Sıkılmak, bunalmak.;1;genel;;"Cehenneme atsalar odun yaş
diye bağırır";"Vakitsiz öten horozun başını
keserler
Her söz yerinde ve zamanında
söylenmelidir. Zamansız ve yersiz
söylenen sözler büyük
zararlara yol açabilir.
485-Vermeyince mabut, neylesin
Sultan Mahmut";Kafasına koymak
132;İçi dayanmamak;Düşündüğünü Acıklı bir durumu kaldıramamak.;1;genel;;"Gözünü daldan budaktan
sakınmamak";Ismarlama hac, hac olmaz;İçinden geçirmek
133;İçi dışına çıkmak;Kusacak duruma gelmek.;1;genel;;Balık baştan avlanır;"Bakarsan bağ olur,
bakmazsan dağ olur";Kaş göz işareti yapmak
134;İçi erimek;Kaygı duymak, çok üzülmek.;1;genel;;Yuları ele kaptırmak;Saçına ak düşmek;Takıp takıştırmak
135;İçi gitmek;Bir şeyi yapmayı veya elde etmeyi çok istemek.;1;genel;;Mızrak çuvala sığmaz;"Son pişmanlık fayda
vermez";"Mal canı kazanmaz, can
malı kazanır"
136;İçi içine sığmamak;Telaş, sabırsızlık, coşkunluk göstermekten kendini alamamak. - 74;1;genel;;"Yağmurdan kaçarken doluya
tutulmak";"Ucuzdur vardır illeti,
pahalıdır vardır hikmeti";"At, adımına göre değil
adamına göre yürür"
137;İçi kan ağlamak;Çok üzüntü duymak.;1;genel;;"Seninki can da benimki
patlıcan mı?
Senin canının değeri var da
benimkinin değeri yok mu?
450-Serçeden korkan darı ekmez";Yüzünü kara çıkarmak;Renk vermemek
138;İçi kazınmak;Açlıktan midesinde eziklik duymak;1;genel;;Postu kurtarmak;"Güneş girmeyen eve doktor
girer";Yanına kâr kalmak
139;İçi parçalanmak;Birine acıyarak çok üzülmek.;1;genel;;"Dağ başından duman eksik
olmaz";Saçını süpürge etmek;Sevinçten havalara uçmak
140;İçi rahat etmek;Kaygı duyulacak bir konu bulunmadığını öğrenerek ferahlamak.;1;genel;;"Bakarsan bağ olur,
bakmazsan dağ olur";"Akıllı köprü arayıncaya dek
deli suyu geçer";Sağ gösterip sol vurmak
141;İçi sızlamak;Çok üzülmek.;1;genel;;"At bulunur meydan
bulunmaz, meydan bulunur at
bulunmaz";"İnsan ayaktan, at tırnaktan
kapar";Çoğu zarar, azı karar
142;İçi yanmak;Büyük bir acı, sıkıntı vb nedenlerle çok üzülmek;1;genel;;Esamisi okunmamak;Ölümle öç alınmaz;İn cin top oynamak
143;İçinden geçirmek;Bir şeyi yapmayı düşünmek.;1;genel;;İyilik eden iyilik bulur;Son noktayı koymak;Dil dökmek
144;İçinden gelmek;Bir şeyi yapmak için içten bir istek duymak.;1;genel;;"Kişi ne yaparsa kendine
yapar";"Dervişin fikri ne ise zikri
de odur";Dal gibi kalmak
145;İçine atmak;Sıkıntısını kimseye belli etmemek.;1;genel;;Mal canın yongasıdır;"Dervişin fikri ne ise zikri
de odur";Ayakları geri geri gitmek
146;İçine daralma gelmek;Sıkıntı basmak, sıkılmak.;1;genel;;"Garip kuşun yuvasını Allah
yapar";Karıncayı bile ezmemek;Rahat yüzü görmemek
147;İçine doğmak;Bir işin olacağını veya olduğunu hiçbir belirtiye dayanmadan önceden sezinlemek, malum olmak.;1;genel;;"Ağaca dayanma kurur,
adama insana dayanma ölür";"Mart dokuzunda çıra yak,
bağ buda";"Alma mazlumun ahını, çıkar
aheste aheste"
148;İçtikleri su ayrı gitmemek;Çok iyi arkadaş olmak.;1;genel;;Keli görünmek;Aklına geleni yapmak;"Dost başa, düşman ayağa
bakar"
149;İçine kapanmak;Çevresindeki kişilerle ilgi kurmamak, duygularını kimseye açmamak. - 75;1;genel;;"Atasını tanımayan Allah'ını
tanımaz";İçi açılmak;"Üzüm üzüme baka baka
kararır"
150;İçine kurt düşmek;Kendisine zararı dokunacak bir durum meydana geleceğinden kuşkulanmak.;1;genel;;"Büyük lokma ye büyük söz
söyleme";"İnsan doğduğu yerde değil,
doyduğu yerde";Çürük tahtaya basmak
151;İçine sinmek;İsteğince olduğu için huzur ve mutluluk duymak.;1;genel;;"Tarlada izi olmayanın
harmanda sözü olmaz";"Davetsiz gelen döşeksiz
oturur";Aklından çıkarmamak
152;İçini ısıtmak;Hoş, tatlı ve huzur verici duygular uyandırmak, coşku vermek.;1;genel;;Boyunun ölçüsünü almak;İpin ucunu kaçırmak;Yeri göğü birbirine katmak
153;İçini karartmak;Bunalıma veya sıkıntıya sokmak, endişeye düşürmek.;1;genel;;Laf lafı açar;Nefes tüketmek;Üstüne vazife olmamak
154;İçini kemirmek;Bir üzüntüden rahatsızlık duymak, tedirgin olmak.;1;genel;;Kapağı atmak;Yeşil ışık yakmak;"Perşembenin gelişi
çarşambadan bellidir"
155;İçini okumak;Birinin gizli, saklı düşüncelerini anlamak.;1;genel;;Çizgisinden sapmamak;"İnsan yedisinde ne ise
yetmişinde de odur";"Ecel geldi cihana, baş ağrısı
bahane"
156;"İğne deliğinden Hindistan’ı
seyretmek";Küçük bir olaydan büyük gerçeklere ulaşacak kadar keskin bir kavrayışı bulunmak.;1;genel;;Can canın yoldaşıdır;"Vakitsiz öten horozun başını
keserler
Her söz yerinde ve zamanında
söylenmelidir. Zamansız ve yersiz
söylenen sözler büyük
zararlara yol açabilir.
485-Vermeyince mabut, neylesin
Sultan Mahmut";Varlıkta darlık çekmek
157;İğne ile kuyu kazmak;Yetersiz araçlarla, sürekli ve sabırlı bir biçimde çalışıp çok güç olan veya çok ağır yürüyen bir işi başarmaya çalışmak.;1;genel;;"Tembele iş buyur, sana
akıl öğretsin";"Kaçanı kovmazlar, yıkılanı
vurmazlar";"Rüzgârlı havanın kuytusu,
yağmurlu havanın uykusu"
158;İğne ipliğe dönmek;Çok zayıflamak.;1;genel;;Bozuk çalmak;"Çay geçerken at
değiştirilmez";İç açmak
159;İki arada bir derede kalmak;Sıkışık, zor şartlar altında kalmak.;1;genel;;Kuş, kanadına kira istemez;"Mal adama hem dost hem
düşmandır";"Dostluk okkayla, alışveriş
dirhemle"
160;"İki ayağını bir pabuca
sokmak";Birini bir işi hemen yapması için çok sıkıştırmak. - 76;1;genel;;Tüyleri diken diken olmak;"Anlayana sivrisinek saz,
anlamayana davul zurna az";Kuş gibi çırpınmak
161;İki ateş arasında kalmak;Zor bir durumda karar verememek.;1;genel;;"Sağ elinin verdiğini sol elin
görmesin";Yakayı ele vermek;"Boşa koysan dolmaz,
doluya koysan almaz"
162;İki gözü iki çeşme ağlamak;Sürekli ve çok ağlamak.;1;genel;;Dünyalara değişmemek;Yuları ele kaptırmak;İçi yanmak
163;"İki karpuzu bir koltuğa
sığdırmak";Aynı anda iki işi veya görevi yapmak;1;genel;;"Mart dokuzunda çıra yak,
bağ buda";Suratını ekşitmek;Pusulayı şaşırmak
164;"İki yakası bir araya gelmemek
Geçim sıkıntısından bir türlü
kurtulamamak, borçtan
kurtulamamak.
165-İnce eleyip sık dokumak";Bir şeyi bütün ayrıntılarıyla araştırmak, gözden veya elden geçirmek.;1;genel;;"İki ayağını bir pabuca
sokmak";Parmakla gösterilmek;"Allah kardeşi kardeş yaratmış,
kesesini ayrı yaratmış"
166;İn cin top oynamak;Hiçbir canlı varlık bulunmamak.;1;genel;;Kaleyi içinden fethetmek;Bam teline basmak;Parmak ısırmak
167;"İncir çekirdeğini
doldurmamak";Çok az veya çok önemsiz olmak.;1;genel;;Pusulayı şaşırmak;Baklayı ağzından çıkarmak;Parmağında oynatmak
168;İpe sapa gelmemek;Akla yakın olmamak veya birbirini tutmamak.;1;genel;;"Dereyi geçerken at
değiştirilmez";İçi erimek;Kalıbının adamı olmamak
169;İpe un sermek;Geçersiz birtakım nedenler ileri sürerek istenilen işi yapmaktan kaçınmak.;1;genel;;Yuvasını bozmak;Yüreği kan ağlamak;Arı bal alacak çiçeği bilir
170;İpliği pazara çıkmak;Bir kimsenin kötü niteliğinin zamanla ya da bir olay sonrasında anlaşılması.;1;genel;;"Ağlamayan çocuğa meme
vermezler";Eli boş dönmek;Sallantıda bırakmak
171;İpi koparmak;Bağlı bulunduğu kuruluşla veya yakınlığı bulunan kişi ile ilişkisini kesmek. - 77;1;genel;;"Sinek küçüktür ama mide
bulandırır";Gelene git denilmez;"Taşıma su ile değirmen
dönmez"
172;İpin ucunu kaçırmak;Yönetimde veya bir şeyi kullanmada gereken ölçüyü yitirmek.;1;genel;;"Ağlamayan çocuğa meme
vermezler";Tereciye tere satmak;"Gözünü daldan budaktan
sakınmamak"
173;İple çekmek;Birini ölçülü davranmaya zorlamak.;1;genel;;Göz boyamak;Kaleyi içinden fethetmek;"Sinek küçüktür ama mide
bulandırır"
174;İstifini bozmamak;Aldırış etmeyip durum ve davranışını değiştirmemek.;1;genel;;"Her horoz kendi çöplüğünde
öter";Havanda su dövmek;İçine kurt düşmek
175;"İşi Allah’a kalmak
Kimsenin kendisine yardım etmediği
bir durumda, çaresiz kalmak.
176-İş başa düşmek";Kendi işini kendi görmek zorunda kalmak.;1;genel;;Dört duvar arasından kalmak;"Hak deyince akan sular
durur";Çok bilen çok yanılır
177;İş çığırından çıkmak;Bir iş amacından saparak düzeltilmesi güç bir durum almak;1;genel;;Kafasına koymak;Meydana getirmek;Ne od var ne ocak
